Query_ID,Document_ID
AILA_Q1,C9
AILA_Q1,C14
AILA_Q2,C22
AILA_Q2,C27
AILA_Q3,C1
AILA_Q4,C182
AILA_Q5,C36
AILA_Q5,C54
AILA_Q5,C121
AILA_Q5,C144
AILA_Q5,C155
AILA_Q6,C19
AILA_Q6,C26
AILA_Q6,C99
AILA_Q6,C152
AILA_Q7,C130
AILA_Q8,C32
AILA_Q8,C60
AILA_Q8,C125
AILA_Q9,C42
AILA_Q9,C90
AILA_Q10,C86
AILA_Q10,C180
AILA_Q10,C185
AILA_Q11,C131
AILA_Q11,C132
AILA_Q12,C8
AILA_Q13,C40
AILA_Q13,C102
AILA_Q13,C120
AILA_Q14,C46
AILA_Q15,C185
AILA_Q16,C50
AILA_Q16,C166
AILA_Q17,C23
AILA_Q17,C67
AILA_Q17,C145
AILA_Q18,C188
AILA_Q19,C63
AILA_Q19,C77
AILA_Q19,C89
AILA_Q19,C142
AILA_Q20,C134
AILA_Q20,C168
AILA_Q21,C28
AILA_Q21,C48
AILA_Q21,C113
AILA_Q21,C114
AILA_Q22,C11
AILA_Q22,C118
AILA_Q23,C10
AILA_Q23,C88
AILA_Q24,C171
AILA_Q25,C15
AILA_Q25,C17
AILA_Q25,C29
AILA_Q25,C41
AILA_Q25,C84
AILA_Q25,C105
AILA_Q26,C44
AILA_Q26,C87
AILA_Q26,C108
AILA_Q26,C115
AILA_Q26,C116
AILA_Q26,C133
AILA_Q26,C179
AILA_Q26,C183
AILA_Q27,C73
AILA_Q27,C91
AILA_Q27,C136
AILA_Q27,C161
AILA_Q27,C175
AILA_Q28,C71
AILA_Q28,C178
AILA_Q29,C4
AILA_Q29,C6
AILA_Q29,C24
AILA_Q29,C34
AILA_Q29,C39
AILA_Q29,C62
AILA_Q29,C63
AILA_Q29,C66
AILA_Q29,C68
AILA_Q29,C74
AILA_Q29,C100
AILA_Q29,C124
AILA_Q29,C127
AILA_Q29,C138
AILA_Q29,C140
AILA_Q29,C153
AILA_Q29,C156
AILA_Q29,C159
AILA_Q29,C163
AILA_Q29,C169
AILA_Q29,C173
AILA_Q29,C176
AILA_Q30,C56
AILA_Q30,C80
AILA_Q30,C83
AILA_Q30,C97
AILA_Q30,C107
AILA_Q30,C123
AILA_Q30,C137
AILA_Q30,C148
AILA_Q30,C154
AILA_Q30,C167
AILA_Q31,C65
AILA_Q31,C93
AILA_Q32,C94
AILA_Q32,C122
AILA_Q32,C164
AILA_Q33,C186
AILA_Q34,C3
AILA_Q34,C13
AILA_Q34,C25
AILA_Q34,C33
AILA_Q34,C49
AILA_Q34,C69
AILA_Q34,C72
AILA_Q34,C85
AILA_Q34,C126
AILA_Q34,C129
AILA_Q34,C143
AILA_Q34,C165
AILA_Q34,C181
AILA_Q35,C31
AILA_Q35,C184
AILA_Q36,C37
AILA_Q36,C55
AILA_Q36,C57
AILA_Q36,C112
AILA_Q36,C160
AILA_Q36,C172
AILA_Q37,C18
AILA_Q37,C71
AILA_Q37,C178
AILA_Q38,C70
AILA_Q38,C101
AILA_Q38,C110
AILA_Q38,C149
AILA_Q38,C177
AILA_Q39,C12
AILA_Q39,C16
AILA_Q39,C20
AILA_Q39,C43
AILA_Q39,C53
AILA_Q39,C95
AILA_Q39,C104
AILA_Q39,C119
AILA_Q39,C128
AILA_Q39,C146
AILA_Q39,C169
AILA_Q39,C187
AILA_Q40,C111
AILA_Q40,C135
AILA_Q41,C35
AILA_Q41,C52
AILA_Q41,C94
AILA_Q41,C96
AILA_Q41,C98
AILA_Q42,C2
AILA_Q42,C81
AILA_Q42,C103
AILA_Q42,C150
AILA_Q43,C151
AILA_Q43,C157
AILA_Q43,C158
AILA_Q44,C7
AILA_Q44,C45
AILA_Q44,C61
AILA_Q44,C64
AILA_Q44,C109
AILA_Q44,C117
AILA_Q45,C58
AILA_Q45,C78
AILA_Q46,C5
AILA_Q46,C47
AILA_Q46,C59
AILA_Q46,C75
AILA_Q46,C79
AILA_Q46,C106
AILA_Q46,C139
AILA_Q46,C147
AILA_Q46,C170
AILA_Q47,C171
AILA_Q48,C21
AILA_Q48,C82
AILA_Q48,C141
AILA_Q48,C162
AILA_Q49,C38
AILA_Q49,C76
AILA_Q49,C92
AILA_Q49,C174
AILA_Q50,C22
AILA_Q50,C27
